,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
18,4,169,186,2147.75,2144.2708728147404,-13.916508741038342,-0.0016198939286506953,2021-07-05 10:50:00,2021-07-05 12:15:00,0 days 01:25:00
19,4,190,191,2147.0,2144.0168101760823,-11.932759295670621,-0.0013894689445355102,2021-07-05 12:35:00,2021-07-05 12:40:00,0 days 00:05:00
20,-4,193,194,2142.7,2145.687198256461,-11.948793025845589,-0.0013941280890752417,2021-07-05 12:50:00,2021-07-05 12:55:00,0 days 00:05:00
21,4,195,216,2146.9,2151.686096037733,19.144384150931728,0.0022293055278461704,2021-07-05 13:00:00,2021-07-05 14:45:00,0 days 01:45:00
22,4,217,223,2148.95,2152.4715903842575,14.086361537030825,0.0016387493353766658,2021-07-05 14:50:00,2021-07-05 15:20:00,0 days 00:30:00
23,4,224,224,2152.65,2150.127215939093,-10.09113624362908,-0.0011719434468712153,2021-07-05 15:25:00,2021-07-05 15:25:00,0 days 00:00:00
24,-4,228,237,2139.1,2130.638953679965,33.844185280138845,0.003955423458480101,2021-07-06 09:30:00,2021-07-06 10:15:00,0 days 00:45:00
25,-4,238,240,2130.0,2136.1640800654395,-24.656320261758083,-0.0028939343030232045,2021-07-06 10:20:00,2021-07-06 10:30:00,0 days 00:10:00
26,-4,245,252,2136.45,2141.54132423832,-20.36529695328136,-0.0023830767105808004,2021-07-06 10:55:00,2021-07-06 11:30:00,0 days 00:35:00
27,4,253,266,2141.2,2137.3228086534345,-15.508765386261075,-0.0018107562799202226,2021-07-06 11:35:00,2021-07-06 12:40:00,0 days 01:05:00
28,-4,267,270,2137.6,2140.775220837802,-12.700883351208176,-0.001485413939839919,2021-07-06 12:45:00,2021-07-06 13:00:00,0 days 00:15:00
29,4,272,272,2141.45,2138.16042558251,-13.158297669959211,-0.0015361434623688552,2021-07-06 13:10:00,2021-07-06 13:10:00,0 days 00:00:00
30,-4,274,275,2136.65,2140.294993449584,-14.579973798336141,-0.0017059384782645015,2021-07-06 13:20:00,2021-07-06 13:25:00,0 days 00:05:00
31,4,281,283,2140.1,2137.0799072710197,-12.080370915920867,-0.0014111923410028426,2021-07-06 13:55:00,2021-07-06 14:05:00,0 days 00:10:00
32,-4,284,286,2138.1,2133.6457724659194,17.816910136321894,0.0020832643627896053,2021-07-06 14:10:00,2021-07-06 14:20:00,0 days 00:10:00
33,-4,287,288,2135.5,2130.094626392532,21.621494429871746,0.0025311981303993702,2021-07-06 14:25:00,2021-07-06 14:30:00,0 days 00:05:00
34,-4,289,293,2128.2,2132.659570746515,-17.83828298606022,-0.002095466002497437,2021-07-06 14:35:00,2021-07-06 14:55:00,0 days 00:20:00
35,-4,294,295,2127.95,2120.540938109874,29.63624756050376,0.0034817838248670796,2021-07-06 15:00:00,2021-07-06 15:05:00,0 days 00:05:00
36,-4,296,300,2124.35,2116.8725259582743,29.9098961669024,0.003519887985372283,2021-07-06 15:10:00,2021-07-07 09:15:00,0 days 18:05:00
37,-4,301,306,2121.0,2111.7375142411815,37.04994303527383,0.004367037132870566,2021-07-07 09:20:00,2021-07-07 09:45:00,0 days 00:25:00
38,-4,307,308,2112.25,2103.39724854811,35.41100580756029,0.004191147568654352,2021-07-07 09:50:00,2021-07-07 09:55:00,0 days 00:05:00
39,-4,309,338,2103.6,2110.6707354050072,-28.282941620029305,-0.0033612547085983824,2021-07-07 10:00:00,2021-07-07 12:25:00,0 days 02:25:00
40,-4,345,352,2109.75,2111.688992305273,-7.755969221092528,-0.0009190625928536811,2021-07-07 13:00:00,2021-07-07 13:35:00,0 days 00:35:00
41,4,354,355,2110.85,2114.206056756174,13.424227024695938,0.0015899077415135743,2021-07-07 13:45:00,2021-07-07 13:50:00,0 days 00:05:00
42,4,356,357,2113.55,2111.18029873167,-9.478805073320473,-0.0011211947994275162,2021-07-07 13:55:00,2021-07-07 14:00:00,0 days 00:05:00
43,-4,362,369,2104.9,2108.508183175167,-14.432732700666747,-0.0017141827047206792,2021-07-07 14:25:00,2021-07-07 15:00:00,0 days 00:35:00
44,4,373,374,2112.4,2109.1519172463045,-12.992331014782394,-0.001537626753311705,2021-07-07 15:20:00,2021-07-07 15:25:00,0 days 00:05:00
45,4,375,375,2116.95,2108.5850820585097,-33.45967176596059,-0.003951400808469785,2021-07-08 09:15:00,2021-07-08 09:15:00,0 days 00:00:00
46,4,376,378,2113.35,2108.9700703358653,-17.519718656538316,-0.002072505578410877,2021-07-08 09:20:00,2021-07-08 09:30:00,0 days 00:10:00
47,-4,379,387,2106.8,2099.2577923872313,30.168830451075337,0.0035799352633230086,2021-07-08 09:35:00,2021-07-08 10:15:00,0 days 00:40:00
48,-4,388,395,2100.25,2105.483197633285,-20.93279053313927,-0.002491702241773419,2021-07-08 10:20:00,2021-07-08 10:55:00,0 days 00:35:00
49,-4,397,411,2103.7,2098.733316607503,19.866733569986536,0.0023609276001790303,2021-07-08 11:05:00,2021-07-08 12:15:00,0 days 01:10:00
50,-4,412,415,2098.65,2094.8883100004723,15.046759998111156,0.001792433230661472,2021-07-08 12:20:00,2021-07-08 12:35:00,0 days 00:15:00
51,-4,416,419,2095.0,2090.20033725973,19.198650961079693,0.0022910084679093057,2021-07-08 12:40:00,2021-07-08 12:55:00,0 days 00:15:00
52,-4,420,421,2089.9,2093.544759936524,-14.579039746095077,-0.0017439877202372056,2021-07-08 13:00:00,2021-07-08 13:05:00,0 days 00:05:00
53,-4,431,438,2095.3,2089.08871392348,24.84514430608033,0.0029643898613659347,2021-07-08 13:55:00,2021-07-08 14:30:00,0 days 00:35:00
54,-4,439,440,2082.4,2087.916226484915,-22.064905939660093,-0.0026489754537624144,2021-07-08 14:35:00,2021-07-08 14:40:00,0 days 00:05:00
55,-4,446,447,2089.7,2094.1880371605143,-17.95214864205809,-0.002147694482707907,2021-07-08 15:10:00,2021-07-08 15:15:00,0 days 00:05:00
56,-4,450,450,2088.0,2084.436762082449,14.252951670203402,0.0017065315697082362,2021-07-09 09:15:00,2021-07-09 09:15:00,0 days 00:00:00
57,-4,451,451,2082.0,2073.018653213528,35.925387145887726,0.004313807294174854,2021-07-09 09:20:00,2021-07-09 09:20:00,0 days 00:00:00
58,-4,452,525,2074.3,2082.157912449413,-31.431649797650607,-0.003788223713740768,2021-07-09 09:25:00,2021-07-12 09:15:00,2 days 23:50:00
59,4,527,529,2087.0,2081.925573519178,-20.29770592328714,-0.0024314453669486147,2021-07-12 09:25:00,2021-07-12 09:35:00,0 days 00:10:00
60,4,533,546,2090.05,2098.5173059935387,33.86922397415401,0.004051245660887881,2021-07-12 09:55:00,2021-07-12 11:00:00,0 days 01:05:00
61,4,547,550,2097.5,2093.507774764054,-15.96890094378432,-0.0019033254998550575,2021-07-12 11:05:00,2021-07-12 11:20:00,0 days 00:15:00
62,4,553,554,2095.35,2092.5132753307867,-11.346898676853016,-0.0013538190131544559,2021-07-12 11:35:00,2021-07-12 11:40:00,0 days 00:05:00
