date,Open,High,Low,Close,Volume
06/10/20 1:00,10753.12,10770.12,10738.08,10762.13,12281536.04
06/10/20 0:00,10792.2,10800,10745.79,10753.12,16377356.04
05/10/20 23:00,10745.09,10798,10733.9,10792.21,17019142.34
05/10/20 22:00,10739.82,10767,10739.27,10745.09,9400209.566
05/10/20 21:00,10737.78,10761.36,10729.59,10739.83,10262340.68
05/10/20 20:00,10730.78,10757.93,10727.8,10737.78,13583808.54
05/10/20 19:00,10716.35,10742.28,10711.97,10730.78,12429777.11
05/10/20 18:00,10696.49,10717.44,10680,10716.35,15802792.79
05/10/20 17:00,10744.51,10745.3,10688.22,10696.49,14599631.05
05/10/20 16:00,10726.01,10744.78,10699.91,10744.51,17009212.44
05/10/20 15:00,10723.93,10735.8,10706.86,10726.02,13997034.41
05/10/20 14:00,10726.46,10777.37,10716,10723.93,28862991.97
05/10/20 13:00,10695.62,10735.99,10695.62,10726.45,25437501.69
05/10/20 12:00,10666.53,10700,10654.96,10695.61,15235495.95
05/10/20 11:00,10681.07,10696.67,10664.85,10666.53,12161914.19
05/10/20 10:00,10679.58,10685,10658.95,10681.01,14750784.27
05/10/20 9:00,10669.13,10690.67,10661.44,10679.59,14404401.56
05/10/20 8:00,10686.31,10695.34,10666.41,10669.12,17970114.64
05/10/20 7:00,10639.03,10695.81,10629.05,10686.31,21723842.57
05/10/20 6:00,10677,10677.01,10615.64,10639.03,19184533.09
05/10/20 5:00,10656.75,10678.89,10650.42,10677.01,8625572.96
05/10/20 4:00,10665.88,10671.6,10646.06,10656.75,11713974.73
05/10/20 3:00,10707.67,10711.88,10661.31,10665.88,10332469.89
05/10/20 2:00,10691.65,10712.28,10686.7,10707.66,7666701.338
05/10/20 1:00,10703.61,10709.16,10682.45,10691.73,11034143.51
05/10/20 0:00,10666.62,10741.63,10655.64,10703.62,20950118.95
04/10/20 23:00,10659.4,10674.55,10645.76,10666.63,9491026.489
04/10/20 22:00,10645.01,10680,10637.84,10660.27,10324205.44
04/10/20 21:00,10643.47,10666,10642.18,10645.01,7228132.389
04/10/20 20:00,10673.26,10690.75,10637.33,10643.47,11230395.87
04/10/20 19:00,10630,10696.87,10629.99,10673.26,23805104.18
04/10/20 18:00,10606.23,10649,10597.13,10630,19817495.04
04/10/20 17:00,10600.45,10607.68,10591.51,10606.23,6873478.159
04/10/20 16:00,10591.45,10605.17,10581.26,10600.44,8658194.274
